,state_id,cat_id,d,revenue
0,CA,FOODS,1,22019.55999999987
1,CA,FOODS,2,21297.639999999894
2,CA,FOODS,3,14997.19999999993
3,CA,FOODS,4,16272.14999999993
4,CA,FOODS,5,15344.98999999993
5,CA,FOODS,6,17112.72999999993
6,CA,FOODS,7,19208.5499999999
7,CA,FOODS,8,25251.419999999966
8,CA,FOODS,9,24659.569999999938
9,CA,FOODS,10,19276.919999999915
10,CA,FOODS,11,18121.549999999894
11,CA,FOODS,12,17282.299999999923
12,CA,FOODS,13,19229.97999999992
13,CA,FOODS,14,18967.419999999925
14,CA,FOODS,15,23451.969999999896
15,CA,FOODS,16,26493.249999999865
16,CA,FOODS,17,15663.629999999926
17,CA,FOODS,18,14627.669999999946
18,CA,FOODS,19,14460.249999999922
19,CA,FOODS,20,13499.56999999995
20,CA,FOODS,21,17061.509999999904
21,CA,FOODS,22,21188.299999999905
22,CA,FOODS,23,21174.41999999989
23,CA,FOODS,24,18227.749999999927
24,CA,FOODS,25,13838.699999999913
25,CA,FOODS,26,13830.729999999918
26,CA,FOODS,27,13143.069999999929
27,CA,FOODS,28,15998.439999999924
28,CA,FOODS,29,21536.76999999989
29,CA,FOODS,30,20840.55999999983
30,CA,FOODS,31,14846.099999999933
31,CA,FOODS,32,16425.0499999999
32,CA,FOODS,33,15983.139999999943
33,CA,FOODS,34,16638.10999999993
34,CA,FOODS,35,18344.499999999844
35,CA,FOODS,36,23715.149999999845
36,CA,FOODS,37,26770.209999999883
37,CA,FOODS,38,18311.909999999898
38,CA,FOODS,39,17299.56999999991
39,CA,FOODS,40,16261.399999999932
40,CA,FOODS,41,16811.409999999916
41,CA,FOODS,42,18072.679999999884
42,CA,FOODS,43,21345.729999999883
43,CA,FOODS,44,22996.37999999986
44,CA,FOODS,45,17199.859999999902
45,CA,FOODS,46,14661.51999999993
46,CA,FOODS,47,15064.879999999941
47,CA,FOODS,48,14483.469999999925
48,CA,FOODS,49,15532.1399999999
49,CA,FOODS,50,21909.499999999865
50,CA,FOODS,51,21977.96999999984
51,CA,FOODS,52,16104.95999999988
52,CA,FOODS,53,14432.569999999921
53,CA,FOODS,54,13150.909999999909
54,CA,FOODS,55,11951.589999999944
55,CA,FOODS,56,16734.449999999928
56,CA,FOODS,57,21013.929999999917
57,CA,FOODS,58,20753.449999999844
58,CA,FOODS,59,14952.729999999905
59,CA,FOODS,60,12967.809999999947
60,CA,FOODS,61,13416.199999999913
61,CA,FOODS,62,15274.859999999906
62,CA,FOODS,63,19639.01999999988
63,CA,FOODS,64,22435.429999999888
64,CA,FOODS,65,24352.14999999985
65,CA,FOODS,66,19896.16999999988
66,CA,FOODS,67,17324.27999999991
67,CA,FOODS,68,16424.029999999875
68,CA,FOODS,69,17577.9799999999
69,CA,FOODS,70,17374.999999999865
70,CA,FOODS,71,22417.779999999864
71,CA,FOODS,72,24161.829999999834
72,CA,FOODS,73,17352.74999999986
73,CA,FOODS,74,14299.259999999898
74,CA,FOODS,75,13741.549999999907
75,CA,FOODS,76,14359.299999999905
76,CA,FOODS,77,17296.539999999888
77,CA,FOODS,78,20243.67999999987
78,CA,FOODS,79,21671.159999999858
79,CA,FOODS,80,16212.589999999875
80,CA,FOODS,81,14915.349999999908
81,CA,FOODS,82,14065.059999999927
82,CA,FOODS,83,15033.829999999885
83,CA,FOODS,84,17783.019999999924
84,CA,FOODS,85,23057.06999999986
85,CA,FOODS,86,18818.4099999999
86,CA,FOODS,87,13114.929999999938
87,CA,FOODS,88,12949.069999999896
88,CA,FOODS,89,12447.619999999913
89,CA,FOODS,90,12418.259999999955
90,CA,FOODS,91,15097.519999999908
91,CA,FOODS,92,19373.299999999872
92,CA,FOODS,93,20438.429999999888
93,CA,FOODS,94,17123.789999999884
94,CA,FOODS,95,17212.099999999937
95,CA,FOODS,96,16003.95999999993
96,CA,FOODS,97,15029.669999999933
97,CA,FOODS,98,18004.659999999876
98,CA,FOODS,99,20500.57999999991
99,CA,FOODS,100,18094.689999999908
100,CA,FOODS,101,19267.95999999993
