,store_id,cat_id,d,revenue
0,CA_1,FOODS,1,7240.64999999999
1,CA_1,FOODS,2,6705.510000000003
2,CA_1,FOODS,3,4584.850000000002
3,CA_1,FOODS,4,4965.460000000001
4,CA_1,FOODS,5,4368.070000000004
5,CA_1,FOODS,6,5247.420000000002
6,CA_1,FOODS,7,5820.4500000000035
7,CA_1,FOODS,8,8551.459999999992
8,CA_1,FOODS,9,7435.859999999992
9,CA_1,FOODS,10,5535.840000000002
10,CA_1,FOODS,11,5079.65
11,CA_1,FOODS,12,4753.030000000007
12,CA_1,FOODS,13,5225.060000000002
13,CA_1,FOODS,14,5523.940000000004
14,CA_1,FOODS,15,7401.069999999992
15,CA_1,FOODS,16,7835.779999999997
16,CA_1,FOODS,17,4726.100000000004
17,CA_1,FOODS,18,4151.050000000006
18,CA_1,FOODS,19,3806.1900000000064
19,CA_1,FOODS,20,3566.880000000007
20,CA_1,FOODS,21,5428.189999999997
21,CA_1,FOODS,22,6880.969999999997
22,CA_1,FOODS,23,6784.71
23,CA_1,FOODS,24,5125.9100000000035
24,CA_1,FOODS,25,3870.540000000007
25,CA_1,FOODS,26,3669.840000000007
26,CA_1,FOODS,27,3719.1300000000074
27,CA_1,FOODS,28,4499.410000000001
28,CA_1,FOODS,29,5999.689999999998
29,CA_1,FOODS,30,6324.069999999997
30,CA_1,FOODS,31,3965.160000000005
31,CA_1,FOODS,32,4314.800000000004
32,CA_1,FOODS,33,4357.590000000006
33,CA_1,FOODS,34,4489.460000000003
34,CA_1,FOODS,35,5626.9999999999945
35,CA_1,FOODS,36,7029.719999999988
36,CA_1,FOODS,37,7552.909999999996
37,CA_1,FOODS,38,5272.669999999999
38,CA_1,FOODS,39,5064.280000000006
39,CA_1,FOODS,40,4904.110000000005
40,CA_1,FOODS,41,4473.120000000006
41,CA_1,FOODS,42,5757.42
42,CA_1,FOODS,43,6558.239999999994
43,CA_1,FOODS,44,7012.939999999996
44,CA_1,FOODS,45,4707.060000000004
45,CA_1,FOODS,46,3912.080000000009
46,CA_1,FOODS,47,4217.630000000007
47,CA_1,FOODS,48,3831.190000000008
48,CA_1,FOODS,49,4770.3600000000015
49,CA_1,FOODS,50,6427.319999999999
50,CA_1,FOODS,51,6502.719999999994
51,CA_1,FOODS,52,4533.870000000004
52,CA_1,FOODS,53,3856.340000000005
53,CA_1,FOODS,54,3499.3100000000095
54,CA_1,FOODS,55,3348.9900000000043
55,CA_1,FOODS,56,4276.500000000004
56,CA_1,FOODS,57,6078.489999999997
57,CA_1,FOODS,58,6298.609999999996
58,CA_1,FOODS,59,4254.850000000003
59,CA_1,FOODS,60,3424.1300000000056
60,CA_1,FOODS,61,3619.160000000005
61,CA_1,FOODS,62,4236.880000000005
62,CA_1,FOODS,63,5923.219999999997
63,CA_1,FOODS,64,6897.170000000005
64,CA_1,FOODS,65,7227.049999999992
65,CA_1,FOODS,66,5777.550000000001
66,CA_1,FOODS,67,4895.790000000001
67,CA_1,FOODS,68,4515.300000000005
68,CA_1,FOODS,69,5012.310000000001
69,CA_1,FOODS,70,5469.939999999996
70,CA_1,FOODS,71,6929.779999999993
71,CA_1,FOODS,72,7141.419999999989
72,CA_1,FOODS,73,4699.1200000000035
73,CA_1,FOODS,74,4063.9800000000064
74,CA_1,FOODS,75,3837.5000000000073
75,CA_1,FOODS,76,3979.0500000000084
76,CA_1,FOODS,77,5121.820000000002
77,CA_1,FOODS,78,5964.619999999996
78,CA_1,FOODS,79,6522.279999999998
79,CA_1,FOODS,80,4490.430000000004
80,CA_1,FOODS,81,4116.760000000005
81,CA_1,FOODS,82,3852.160000000006
82,CA_1,FOODS,83,4457.8800000000065
83,CA_1,FOODS,84,5495.779999999998
84,CA_1,FOODS,85,7360.319999999997
