,state_id,dept_id,d,revenue
0,CA,FOODS_1,1,2825.1699999999996
1,CA,FOODS_1,2,2808.6500000000005
2,CA,FOODS_1,3,1823.080000000001
3,CA,FOODS_1,4,1874.060000000003
4,CA,FOODS_1,5,1837.5500000000027
5,CA,FOODS_1,6,1959.760000000002
6,CA,FOODS_1,7,2394.8900000000026
7,CA,FOODS_1,8,2588.750000000001
8,CA,FOODS_1,9,2790.9300000000007
9,CA,FOODS_1,10,2021.4700000000025
10,CA,FOODS_1,11,2757.4900000000025
11,CA,FOODS_1,12,2161.2700000000004
12,CA,FOODS_1,13,2752.85
13,CA,FOODS_1,14,3217.4900000000034
14,CA,FOODS_1,15,4186.620000000002
15,CA,FOODS_1,16,5149.73
16,CA,FOODS_1,17,3120.680000000002
17,CA,FOODS_1,18,1992.9900000000027
18,CA,FOODS_1,19,2100.8000000000015
19,CA,FOODS_1,20,1950.1600000000024
20,CA,FOODS_1,21,2470.2300000000027
21,CA,FOODS_1,22,3173.4100000000003
22,CA,FOODS_1,23,3104.839999999997
23,CA,FOODS_1,24,2643.5200000000004
24,CA,FOODS_1,25,1738.0500000000027
25,CA,FOODS_1,26,1983.9200000000026
26,CA,FOODS_1,27,1989.9500000000032
27,CA,FOODS_1,28,2281.270000000001
28,CA,FOODS_1,29,3542.610000000002
29,CA,FOODS_1,30,2632.610000000002
30,CA,FOODS_1,31,1890.600000000002
31,CA,FOODS_1,32,2190.2700000000013
32,CA,FOODS_1,33,2018.2600000000025
33,CA,FOODS_1,34,1996.4700000000023
34,CA,FOODS_1,35,2304.400000000003
35,CA,FOODS_1,36,2839.4600000000014
36,CA,FOODS_1,37,3271.960000000002
37,CA,FOODS_1,38,1898.2300000000018
38,CA,FOODS_1,39,1852.0400000000022
39,CA,FOODS_1,40,1866.4300000000012
40,CA,FOODS_1,41,2041.7700000000038
41,CA,FOODS_1,42,2372.020000000001
42,CA,FOODS_1,43,2874.7300000000005
43,CA,FOODS_1,44,2621.9700000000003
44,CA,FOODS_1,45,1950.5700000000013
45,CA,FOODS_1,46,1770.0000000000032
46,CA,FOODS_1,47,2077.0100000000034
47,CA,FOODS_1,48,1914.5000000000018
48,CA,FOODS_1,49,1957.2700000000027
49,CA,FOODS_1,50,2896.439999999998
50,CA,FOODS_1,51,2440.750000000001
51,CA,FOODS_1,52,1986.8000000000022
52,CA,FOODS_1,53,2131.710000000002
53,CA,FOODS_1,54,1712.5700000000015
54,CA,FOODS_1,55,1747.5200000000027
55,CA,FOODS_1,56,2606.5800000000017
56,CA,FOODS_1,57,2665.5900000000024
57,CA,FOODS_1,58,2694.3699999999994
58,CA,FOODS_1,59,1761.6200000000015
59,CA,FOODS_1,60,1641.6200000000017
60,CA,FOODS_1,61,1644.480000000003
61,CA,FOODS_1,62,1765.2400000000018
62,CA,FOODS_1,63,2008.7900000000031
63,CA,FOODS_1,64,2453.4900000000002
64,CA,FOODS_1,65,2548.7600000000007
65,CA,FOODS_1,66,2009.8800000000028
66,CA,FOODS_1,67,1863.320000000002
67,CA,FOODS_1,68,1942.5200000000023
68,CA,FOODS_1,69,2287.6100000000015
69,CA,FOODS_1,70,2045.530000000003
70,CA,FOODS_1,71,2579.1200000000017
71,CA,FOODS_1,72,2385.7800000000025
72,CA,FOODS_1,73,1875.6400000000024
73,CA,FOODS_1,74,1399.8900000000012
74,CA,FOODS_1,75,1615.7500000000023
75,CA,FOODS_1,76,1859.330000000002
76,CA,FOODS_1,77,2336.2400000000007
77,CA,FOODS_1,78,2581.95
78,CA,FOODS_1,79,2500.5899999999997
79,CA,FOODS_1,80,1748.3400000000024
80,CA,FOODS_1,81,2196.040000000001
81,CA,FOODS_1,82,1797.4300000000035
82,CA,FOODS_1,83,2227.8800000000033
83,CA,FOODS_1,84,2984.940000000001
84,CA,FOODS_1,85,4421.78
85,CA,FOODS_1,86,3209.7200000000007
86,CA,FOODS_1,87,1460.0300000000018
87,CA,FOODS_1,88,1562.2900000000016
88,CA,FOODS_1,89,1448.510000000002
89,CA,FOODS_1,90,1751.5400000000016
90,CA,FOODS_1,91,1907.800000000004
91,CA,FOODS_1,92,2266.7800000000034
92,CA,FOODS_1,93,2438.310000000002
93,CA,FOODS_1,94,1826.7800000000027
94,CA,FOODS_1,95,1853.1700000000037
95,CA,FOODS_1,96,1750.8400000000026
96,CA,FOODS_1,97,1676.1900000000012
97,CA,FOODS_1,98,1918.8300000000022
98,CA,FOODS_1,99,2900.860000000002
99,CA,FOODS_1,100,2348.7700000000013
100,CA,FOODS_1,101,1933.1600000000021
101,CA,FOODS_1,102,1815.7900000000031
102,CA,FOODS_1,103,1873.6500000000021
103,CA,FOODS_1,104,2154.2400000000002
104,CA,FOODS_1,105,2119.290000000002
105,CA,FOODS_1,106,2714.9600000000014
106,CA,FOODS_1,107,2468.610000000001
107,CA,FOODS_1,108,1911.8800000000028
108,CA,FOODS_1,109,1782.190000000002
109,CA,FOODS_1,110,1749.0000000000027
110,CA,FOODS_1,111,1681.9800000000025
111,CA,FOODS_1,112,1955.540000000003
112,CA,FOODS_1,113,2087.410000000002
113,CA,FOODS_1,114,2133.1900000000023
114,CA,FOODS_1,115,1818.3800000000012
115,CA,FOODS_1,116,1532.1100000000022
116,CA,FOODS_1,117,1649.850000000001
117,CA,FOODS_1,118,1910.1300000000015
