,dept_id,d,revenue
0,FOODS_1,1,5817.2099999999955
1,FOODS_1,2,5489.059999999996
2,FOODS_1,3,4107.640000000003
3,FOODS_1,4,3918.1900000000055
4,FOODS_1,5,3180.640000000005
5,FOODS_1,6,4952.7599999999975
6,FOODS_1,7,5100.7300000000005
7,FOODS_1,8,5784.289999999996
8,FOODS_1,9,5144.189999999993
9,FOODS_1,10,4235.990000000004
10,FOODS_1,11,4958.020000000001
11,FOODS_1,12,4766.8899999999985
12,FOODS_1,13,5703.029999999995
13,FOODS_1,14,6680.009999999998
14,FOODS_1,15,8195.17
15,FOODS_1,16,10898.369999999975
16,FOODS_1,17,6163.429999999996
17,FOODS_1,18,4271.360000000002
18,FOODS_1,19,4411.279999999999
19,FOODS_1,20,4175.450000000003
20,FOODS_1,21,4922.250000000001
21,FOODS_1,22,6053.129999999988
22,FOODS_1,23,5441.039999999991
23,FOODS_1,24,4812.9500000000035
24,FOODS_1,25,3997.3400000000006
25,FOODS_1,26,4272.24
26,FOODS_1,27,4117.290000000003
27,FOODS_1,28,4625.239999999999
28,FOODS_1,29,6403.450000000003
29,FOODS_1,30,5168.9
30,FOODS_1,31,3800.8
31,FOODS_1,32,4356.660000000001
32,FOODS_1,33,4160.050000000001
33,FOODS_1,34,4199.560000000002
34,FOODS_1,35,4627.810000000004
35,FOODS_1,36,5412.569999999999
36,FOODS_1,37,6036.599999999997
37,FOODS_1,38,4179.920000000004
38,FOODS_1,39,3809.38
39,FOODS_1,40,3863.5799999999986
40,FOODS_1,41,4230.1
41,FOODS_1,42,4863.550000000001
42,FOODS_1,43,5714.189999999992
43,FOODS_1,44,4777.719999999995
44,FOODS_1,45,4165.05
45,FOODS_1,46,4237.630000000005
46,FOODS_1,47,4334.560000000001
47,FOODS_1,48,3697.6000000000026
48,FOODS_1,49,4446.380000000002
49,FOODS_1,50,5550.619999999996
50,FOODS_1,51,4614.410000000006
51,FOODS_1,52,4086.3600000000033
52,FOODS_1,53,4093.1599999999985
53,FOODS_1,54,3914.800000000002
