,cat_id,d,revenue
0,FOODS,1,48049.49999999988
1,FOODS,2,46467.06999999999
2,FOODS,3,34934.73999999974
3,FOODS,4,38384.829999999754
4,FOODS,5,30554.909999999727
5,FOODS,6,45754.1299999999
6,FOODS,7,41587.44999999989
7,FOODS,8,56324.02000000014
8,FOODS,9,54556.31000000019
9,FOODS,10,41641.92999999986
10,FOODS,11,38292.93999999975
11,FOODS,12,39626.859999999906
12,FOODS,13,39676.71999999977
13,FOODS,14,43650.97999999997
14,FOODS,15,56305.650000000016
15,FOODS,16,62686.959999999985
16,FOODS,17,37769.88999999979
17,FOODS,18,39688.54999999982
18,FOODS,19,35213.04999999975
19,FOODS,20,33185.56999999976
20,FOODS,21,38581.84999999981
21,FOODS,22,47524.799999999974
22,FOODS,23,46156.41000000002
23,FOODS,24,37567.83999999984
24,FOODS,25,31830.299999999763
25,FOODS,26,31879.43999999966
26,FOODS,27,31359.81999999971
27,FOODS,28,35529.36999999971
28,FOODS,29,46009.18000000002
29,FOODS,30,46897.579999999965
30,FOODS,31,34116.2899999997
31,FOODS,32,37128.549999999836
32,FOODS,33,36504.589999999764
33,FOODS,34,39178.01999999995
34,FOODS,35,39549.44999999982
35,FOODS,36,52311.52999999983
36,FOODS,37,57985.480000000214
37,FOODS,38,41414.06999999993
38,FOODS,39,38181.229999999865
39,FOODS,40,37175.75999999973
40,FOODS,41,36557.67999999976
41,FOODS,42,41448.89999999985
42,FOODS,43,50487.930000000095
43,FOODS,44,51487.500000000065
44,FOODS,45,41038.92999999983
45,FOODS,46,39299.599999999766
46,FOODS,47,35164.14999999967
47,FOODS,48,33743.82999999969
48,FOODS,49,36972.33999999969
49,FOODS,50,46336.189999999944
50,FOODS,51,45952.72999999999
51,FOODS,52,35376.73999999975
52,FOODS,53,31597.38999999967
53,FOODS,54,30233.939999999697
54,FOODS,55,28901.84999999972
55,FOODS,56,35048.39999999971
56,FOODS,57,44241.750000000015
57,FOODS,58,45235.51999999986
